Run,spots,bases,avgLength,size_MB,download_path,Platform,BioProject,ProjectID,BioSample,ScientificName
DRR289365,139240,1213832868,8717,795,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/DRR000/289/DRR289365/DRR289365.lite.1,PACBIO_SMRT,PRJDB11561,798910,SAMD00298581,Xanthomonas oryzae pv. oryzae
ERR9968694,579937,3310475539,5708,2852,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/ERR009/9968/ERR9968694/ERR9968694.1,OXFORD_NANOPORE,PRJEB54678,871186,SAMEA110346916,Xanthomonas oryzae pv. oryzae
ERR10025933,163482,1184165330,7243,3962,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/ERR010/10025/ERR10025933/ERR10025933.1,PACBIO_SMRT,PRJEB54678,871186,SAMEA110346916,Xanthomonas oryzae pv. oryzae
ERR10025934,163482,2041688466,12488,6784,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/ERR010/10025/ERR10025934/ERR10025934.1,PACBIO_SMRT,PRJEB54678,871186,SAMEA110346916,Xanthomonas oryzae pv. oryzae
ERR9968698,262935,2591826317,9857,2233,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR009/9968/ERR9968698/ERR9968698.lite.1,OXFORD_NANOPORE,PRJEB54678,871186,SAMEA110346917,Xanthomonas oryzae pv. oryzae
ERR9968697,410124,2653646895,6470,2286,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/ERR009/9968/ERR9968697/ERR9968697.1,OXFORD_NANOPORE,PRJEB54678,871186,SAMEA110346918,Xanthomonas oryzae pv. oryzae
SRR1159200,163482,239921632,1467,935,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/159/SRR1159200/SRR1159200.lite.1,PACBIO_SMRT,PRJNA237250,237250,SAMN02616002,Xanthomonas oryzae pv. oryzae PXO86
SRR1161525,163482,238467616,1458,930,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/161/SRR1161525/SRR1161525.lite.1,PACBIO_SMRT,PRJNA237250,237250,SAMN02616002,Xanthomonas oryzae pv. oryzae PXO86
SRR1161526,163482,217510303,1330,843,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/161/SRR1161526/SRR1161526.lite.1,PACBIO_SMRT,PRJNA237250,237250,SAMN02616002,Xanthomonas oryzae pv. oryzae PXO86
SRR1161527,163482,439158640,2686,1659,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/161/SRR1161527/SRR1161527.lite.1,PACBIO_SMRT,PRJNA237250,237250,SAMN02616002,Xanthomonas oryzae pv. oryzae PXO86
